Designator,Mid X,Mid Y,Layer,Rotation
D53,70.000000,-111.390000,Top,-90.000000
D54,62.000000,-113.800000,Top,180.000000
D55,70.000000,-117.090000,Top,-90.000000
D56,62.000000,-119.500000,Top,180.000000
D57,70.000000,-122.789999,Top,-90.000000
D58,62.000000,-125.200000,Top,180.000000
D59,70.000000,-128.490000,Top,-90.000000
D60,62.000000,-130.899999,Top,180.000000
D61,70.000000,-134.190000,Top,-90.000000
D62,62.000000,-136.600000,Top,180.000000
D63,70.000000,-139.890000,Top,-90.000000
D64,62.000000,-142.299999,Top,180.000000
D65,70.000000,-145.590000,Top,-90.000000
D66,62.000000,-148.000000,Top,180.000000
D67,70.000000,-151.290000,Top,-90.000000
D68,62.000000,-153.700000,Top,180.000000
D69,70.000000,-156.990000,Top,-90.000000
D70,62.000000,-159.400000,Top,180.000000
D71,70.000000,-162.690000,Top,-90.000000
D72,62.000000,-165.100000,Top,180.000000
D73,70.000000,-168.390000,Top,-90.000000
D74,62.000000,-170.799999,Top,180.000000
D75,70.000000,-174.090000,Top,-90.000000
D76,62.000000,-176.500000,Top,180.000000
D77,70.000000,-179.790000,Top,-90.000000
D78,62.000000,-182.200000,Top,180.000000
D79,70.000000,-185.490000,Top,-90.000000
D80,62.000000,-187.900000,Top,180.000000
D81,70.000000,-191.190000,Top,-90.000000
D82,62.000000,-193.600000,Top,180.000000
D83,70.000000,-196.890000,Top,-90.000000
D84,62.000000,-199.299999,Top,180.000000
D85,70.000000,-202.590000,Top,-90.000000
D86,62.000000,-205.000000,Top,180.000000
D87,70.000000,-208.290000,Top,-90.000000
D88,62.000000,-210.700000,Top,180.000000
D89,70.000000,-213.990000,Top,-90.000000
D90,62.000000,-216.400000,Top,180.000000
D91,70.000000,-219.690000,Top,-90.000000
D92,62.000000,-222.100000,Top,180.000000
D93,70.000000,-225.390000,Top,-90.000000
D94,62.000000,-227.799999,Top,180.000000
D95,70.000000,-231.090000,Top,-90.000000
D96,62.000000,-233.500000,Top,180.000000
D97,70.000000,-236.790000,Top,-90.000000
F1,122.600000,-220.500000,Top,-90.000000
J1,135.500000,-10.000000,Top,90.000000
J2,116.000000,-10.000000,Top,0.000000
J3,9.000000,-42.000000,Top,90.000000
J4,9.000000,-103.000000,Top,90.000000
J5,9.000000,-168.000000,Top,90.000000
J6,242.000000,-68.000000,Top,-90.000000
J7,242.000000,-90.000000,Top,-90.000000
J8,242.000000,-112.000000,Top,-90.000000
J9,242.000000,-134.000000,Top,-90.000000
J10,242.000000,-156.000000,Top,-90.000000
J11,242.000000,-178.000000,Top,-90.000000
J13,104.000000,-206.000000,Top,0.000000
J14,167.000000,-10.000000,Top,0.000000
J15,9.000000,-222.000000,Top,90.000000
J16,128.000000,-206.000000,Top,0.000000
K1,176.000000,-72.000000,Top,90.000000
K2,176.000000,-94.000000,Top,90.000000
K3,176.000000,-116.000000,Top,90.000000
K4,176.000000,-138.000000,Top,90.000000
K5,176.000000,-160.000000,Top,90.000000
K6,176.000000,-182.000000,Top,90.000000
Q1,160.000000,-67.000000,Top,0.000000
Q2,160.000000,-89.000000,Top,0.000000
Q3,160.000000,-111.000000,Top,0.000000
Q4,160.000000,-133.000000,Top,0.000000
Q5,160.000000,-155.000000,Top,0.000000
Q6,160.000000,-177.000000,Top,0.000000
Q8,104.000000,-198.000000,Top,0.000000
Q9,116.000000,-198.000000,Top,0.000000
Q10,128.000000,-198.000000,Top,0.000000
Q11,140.000000,-198.000000,Top,0.000000
Q12,142.000000,-58.000000,Top,0.000000
Q13,162.000000,-58.000000,Top,0.000000
Q14,158.000000,-82.000000,Top,0.000000
Q15,143.000000,-92.000000,Top,0.000000
Q16,160.000000,-96.000000,Top,0.000000
Q17,116.000000,-52.000000,Top,180.000000
Q18,116.000000,-56.000000,Top,180.000000
Q19,116.000000,-60.000000,Top,180.000000
Q20,116.000000,-64.000000,Top,180.000000
R1,103.000000,-86.000000,Top,90.000000
R2,110.000000,-86.000000,Top,90.000000
R3,58.000000,-11.200000,Top,0.000000
R4,86.000000,-14.800000,Top,0.000000
R5,58.000000,-16.900000,Top,0.000000
R6,86.000000,-20.500000,Top,0.000000
R7,58.000000,-22.599999,Top,0.000000
R8,86.000000,-26.200000,Top,0.000000
R9,58.000000,-28.300000,Top,0.000000
R10,86.000000,-31.900000,Top,0.000000
R11,58.000000,-34.000000,Top,0.000000
R12,86.000000,-37.599999,Top,0.000000
R13,58.000000,-39.700000,Top,0.000000
R14,86.000000,-43.300000,Top,0.000000
R15,58.000000,-45.400000,Top,0.000000
R16,86.000000,-49.000000,Top,0.000000
R17,58.000000,-51.100000,Top,0.000000
R18,86.000000,-54.699999,Top,0.000000
R19,58.000000,-56.800000,Top,0.000000
R20,86.000000,-60.400000,Top,0.000000
R21,58.000000,-62.500000,Top,0.000000
R22,86.000000,-66.100000,Top,0.000000
R23,58.000000,-68.200000,Top,0.000000
R24,86.000000,-71.800000,Top,0.000000
R25,58.000000,-73.900000,Top,0.000000
R26,86.000000,-77.500000,Top,0.000000
R27,58.000000,-79.600000,Top,0.000000
R28,86.000000,-83.200000,Top,0.000000
R29,58.000000,-85.300000,Top,0.000000
R30,86.000000,-88.900000,Top,0.000000
R31,58.000000,-91.000000,Top,0.000000
R32,86.000000,-94.600000,Top,0.000000
R33,58.000000,-96.700000,Top,0.000000
R34,86.000000,-100.300000,Top,0.000000
R35,58.000000,-102.400000,Top,0.000000
R36,86.000000,-106.000000,Top,0.000000
R37,58.000000,-108.100000,Top,0.000000
R38,86.000000,-111.700000,Top,0.000000
R39,58.000000,-113.800000,Top,0.000000
R40,86.000000,-117.400000,Top,0.000000
R41,58.000000,-119.500000,Top,0.000000
R42,86.000000,-123.100000,Top,0.000000
R43,58.000000,-125.200000,Top,0.000000
R44,86.000000,-128.800000,Top,0.000000
R45,58.000000,-130.899999,Top,0.000000
R46,86.000000,-134.500000,Top,0.000000
R47,58.000000,-136.600000,Top,0.000000
R48,86.000000,-140.200000,Top,0.000000
R49,58.000000,-142.299999,Top,0.000000
R50,86.000000,-145.900000,Top,0.000000
R51,58.000000,-148.000000,Top,0.000000
R52,86.000000,-151.600000,Top,0.000000
R53,58.000000,-153.700000,Top,0.000000
R54,86.000000,-157.300000,Top,0.000000
R55,58.000000,-159.400000,Top,0.000000
R56,86.000000,-163.000000,Top,0.000000
R57,58.000000,-165.100000,Top,0.000000
R58,86.000000,-168.700000,Top,0.000000
R59,58.000000,-170.799999,Top,0.000000
R60,86.000000,-174.400000,Top,0.000000
R61,58.000000,-176.500000,Top,0.000000
R62,86.000000,-180.100000,Top,0.000000
R63,58.000000,-182.200000,Top,0.000000
R64,86.000000,-185.800000,Top,0.000000
R65,58.000000,-187.900000,Top,0.000000
R66,86.000000,-191.500000,Top,0.000000
R67,58.000000,-193.600000,Top,0.000000
R68,86.000000,-197.200000,Top,0.000000
R69,58.000000,-199.299999,Top,0.000000
R70,86.000000,-202.900000,Top,0.000000
R71,58.000000,-205.000000,Top,0.000000
R72,86.000000,-208.600000,Top,0.000000
R73,58.000000,-210.700000,Top,0.000000
R74,86.000000,-214.300000,Top,0.000000
R75,58.000000,-216.400000,Top,0.000000
R76,86.000000,-220.000000,Top,0.000000
R77,58.000000,-222.100000,Top,0.000000
R78,86.000000,-225.700000,Top,0.000000
R79,58.000000,-227.799999,Top,0.000000
R80,86.000000,-231.400000,Top,0.000000
R81,58.000000,-233.500000,Top,0.000000
R82,86.000000,-237.100000,Top,0.000000
R83,150.000000,-65.000000,Top,90.000000
R84,150.000000,-71.000000,Top,90.000000
R86,150.000000,-87.000000,Top,90.000000
R87,150.000000,-93.000000,Top,90.000000
R89,150.000000,-109.000000,Top,90.000000
R90,150.000000,-115.000000,Top,90.000000
R92,150.000000,-131.000000,Top,90.000000
R93,150.000000,-137.000000,Top,90.000000
R95,150.000000,-153.000000,Top,90.000000
R96,150.000000,-159.000000,Top,90.000000
R98,150.000000,-175.000000,Top,90.000000
R99,150.000000,-181.000000,Top,90.000000
R104,101.000000,-190.000000,Top,90.000000
R105,107.000000,-190.000000,Top,90.000000
R106,104.000000,-182.000000,Top,0.000000
R107,113.000000,-190.000000,Top,90.000000
R108,119.000000,-190.000000,Top,90.000000
R109,116.000000,-182.000000,Top,0.000000
R110,125.000000,-190.000000,Top,90.000000
R111,131.000000,-190.000000,Top,90.000000
R112,128.000000,-182.000000,Top,0.000000
R113,137.000000,-190.000000,Top,90.000000
R114,143.000000,-190.000000,Top,90.000000
R115,140.000000,-182.000000,Top,0.000000
R116,146.000000,-40.000000,Top,90.000000
R117,145.000000,-78.000000,Top,90.000000
R118,142.000000,-47.000000,Top,90.000000
R119,142.000000,-70.000000,Top,90.000000
R120,162.000000,-47.000000,Top,90.000000
R121,162.000000,-70.000000,Top,90.000000
R122,63.000000,-16.000000,Top,90.000000
R123,67.000000,-16.000000,Top,90.000000
R124,148.000000,-82.000000,Top,90.000000
R125,133.000000,-90.000000,Top,90.000000
R126,133.000000,-98.000000,Top,90.000000
R127,170.000000,-90.000000,Top,90.000000
R128,170.000000,-98.000000,Top,90.000000
R129,114.000000,-41.000000,Top,90.000000
R130,114.000000,-47.000000,Top,90.000000
R131,146.000000,-33.000000,Top,0.000000
R132,120.500000,-52.000000,Top,180.000000
R133,136.000000,-47.000000,Top,90.000000
R134,120.500000,-56.000000,Top,180.000000
R135,125.000000,-56.000000,Top,0.000000
R136,130.000000,-70.000000,Top,90.000000
R137,120.500000,-60.000000,Top,180.000000
R138,125.000000,-60.000000,Top,0.000000
R139,156.000000,-64.000000,Top,0.000000
R140,120.500000,-64.000000,Top,180.000000
R141,125.000000,-64.000000,Top,0.000000
R142,148.300000,-216.000000,Top,180.000000
R143,137.700000,-223.300000,Top,0.000000
R144,118.000000,-68.000000,Top,180.000000
R145,118.000000,-71.000000,Top,180.000000
U1,122.000000,-104.000000,Top,0.000000
U2,122.000000,-146.000000,Top,0.000000
U3,140.000000,-112.000000,Top,0.000000
U4,74.000000,-13.000000,Top,0.000000
U5,74.000000,-18.700000,Top,0.000000
U6,74.000000,-24.400000,Top,0.000000
U7,74.000000,-30.100000,Top,0.000000
U8,74.000000,-35.800000,Top,0.000000
U9,74.000000,-41.500000,Top,0.000000
U10,74.000000,-47.200000,Top,0.000000
U11,74.000000,-52.900000,Top,0.000000
U12,74.000000,-58.600000,Top,0.000000
U13,74.000000,-64.300000,Top,0.000000
U14,74.000000,-70.000000,Top,0.000000
U15,74.000000,-75.700000,Top,0.000000
U16,74.000000,-81.400000,Top,0.000000
U17,74.000000,-87.100000,Top,0.000000
U18,74.000000,-92.800000,Top,0.000000
U19,74.000000,-98.500000,Top,0.000000
U20,74.000000,-104.200000,Top,0.000000
U21,74.000000,-109.900000,Top,0.000000
U22,74.000000,-115.600000,Top,0.000000
U23,74.000000,-121.300000,Top,0.000000
U24,74.000000,-127.000000,Top,0.000000
U25,74.000000,-132.699999,Top,0.000000
U26,74.000000,-138.400000,Top,0.000000
U27,74.000000,-144.100000,Top,0.000000
U28,74.000000,-149.800000,Top,0.000000
U29,74.000000,-155.500000,Top,0.000000
U30,74.000000,-161.200000,Top,0.000000
U31,74.000000,-166.900000,Top,0.000000
U32,74.000000,-172.600000,Top,0.000000
U33,74.000000,-178.300000,Top,0.000000
U34,74.000000,-184.000000,Top,0.000000
U35,74.000000,-189.700000,Top,0.000000
U36,74.000000,-195.400000,Top,0.000000
U37,74.000000,-201.100000,Top,0.000000
U38,74.000000,-206.800000,Top,0.000000
U39,74.000000,-212.500000,Top,0.000000
U40,74.000000,-218.200000,Top,0.000000
U41,74.000000,-223.900000,Top,0.000000
U42,74.000000,-229.600000,Top,0.000000
U43,74.000000,-235.300000,Top,0.000000
U44,151.000000,-50.000000,Top,0.000000
U45,85.000000,-5.700000,Top,-90.000000
U46,130.900000,-220.600000,Top,0.000000
U47,140.300000,-217.200000,Top,180.000000
