Designator,Mid X,Mid Y,Layer,Rotation
U27,74.000000,-162.000000,Top,0.000000
U28,74.000000,-168.000000,Top,0.000000
U29,74.000000,-174.000000,Top,0.000000
U30,74.000000,-180.000000,Top,0.000000
U31,74.000000,-186.000000,Top,0.000000
U32,74.000000,-192.000000,Top,0.000000
U33,74.000000,-198.000000,Top,0.000000
U34,74.000000,-204.000000,Top,0.000000
U35,74.000000,-210.000000,Top,0.000000
U36,151.000000,-50.000000,Top,0.000000
