Comment,Designator,Footprint,Quantity,LCSC Part #
MCP23017 MCP_IN_B,U2,SOIC-28W_7.5x17.9mm_P1.27mm,1,
MCP23017 MCP_OUT_A,U3,SOIC-28W_7.5x17.9mm_P1.27mm,1,
PC817 SA,U4,DIP-4_W7.62mm,1,
PC817 SB,U5,DIP-4_W7.62mm,1,
PC817 SC,U6,DIP-4_W7.62mm,1,
PC817 TA1,U7,DIP-4_W7.62mm,1,
PC817 TA2,U8,DIP-4_W7.62mm,1,
PC817 TB,U9,DIP-4_W7.62mm,1,
PC817 DIELL_L,U10,DIP-4_W7.62mm,1,
PC817 DIELL_R,U11,DIP-4_W7.62mm,1,
PC817 GS1,U12,DIP-4_W7.62mm,1,
PC817 GS2,U13,DIP-4_W7.62mm,1,
PC817 GS3,U14,DIP-4_W7.62mm,1,
PC817 GS4,U15,DIP-4_W7.62mm,1,
PC817 GS5,U16,DIP-4_W7.62mm,1,
PC817 GS6,U17,DIP-4_W7.62mm,1,
PC817 GS7,U18,DIP-4_W7.62mm,1,
PC817 GS8,U19,DIP-4_W7.62mm,1,
PC817 GS9,U20,DIP-4_W7.62mm,1,
PC817 GS10,U21,DIP-4_W7.62mm,1,
PC817 GP,U22,DIP-4_W7.62mm,1,
PC817 OS,U23,DIP-4_W7.62mm,1,
PC817 BS,U24,DIP-4_W7.62mm,1,
PC817 PBZ,U25,DIP-4_W7.62mm,1,
PC817 PBC,U26,DIP-4_W7.62mm,1,
PC817 FOUL,U27,DIP-4_W7.62mm,1,
PC817 TENTH,U28,DIP-4_W7.62mm,1,
PC817 MAN_T,U29,DIP-4_W7.62mm,1,
PC817 MAN_S,U30,DIP-4_W7.62mm,1,
PC817 MAN_SWS,U31,DIP-4_W7.62mm,1,
PC817 MAN_SWSR,U32,DIP-4_W7.62mm,1,
PC817 AUX1,U33,DIP-4_W7.62mm,1,
PC817 AUX2,U34,DIP-4_W7.62mm,1,
PC817 AUX3,U35,DIP-4_W7.62mm,1,
PC817 AUX4,U36,DIP-4_W7.62mm,1,
PC817 AUX5,U37,DIP-4_W7.62mm,1,
PC817 AUX6,U38,DIP-4_W7.62mm,1,
PC817 AUX7,U39,DIP-4_W7.62mm,1,
PC817 AUX8,U40,DIP-4_W7.62mm,1,
PC817 AUX9,U41,DIP-4_W7.62mm,1,
PC817 AUX10,U42,DIP-4_W7.62mm,1,
PC817 AUX11,U43,DIP-4_W7.62mm,1,
NE555,U44,SOIC-8_3.9x4.9mm_P1.27mm,1,
TMA-0505S,U45,Converter_DCDC_TRACO_TMA-05xxS_12xxS_Single_THT,1,
